white,black,result,utc_date_time,time_control
adrnlnnjectd,batalha,0-1,2013-01-01 00:28:53,600+10
sig,desmond_wilson,1-0,2013-01-01 00:29:20,420+9
fifthcategory,luminosity,1-0,2013-01-01 00:29:59,180+0
vivelafete,namesnik,0-1,2013-01-01 00:33:27,180+0
gez,marco0019,0-1,2013-01-01 00:30:22,300+1
6wx,rasmussenesq,0-1,2013-01-01 00:30:58,120+2
j-jorjik,metrolog,0-1,2013-01-01 00:31:12,480+8
krieg,t4nk,0-1,2013-01-01 00:31:17,0+1
cheesedout,nichiren1967,1-0,2013-01-01 00:31:15,60+0
schutzstaffel,legendary_erfan,1-0,2013-01-01 00:31:49,60+0
dissident_with_love,beibus,1-0,2013-01-01 00:32:15,300+8
krieg,t4nk,1-0,2013-01-01 00:32:28,0+1
vadi,neuronchess,0-1,2013-01-01 00:37:55,480+0
legendary_erfan,4di4,1-0,2013-01-01 00:39:00,60+0
twokings,peter2,1-0,2013-01-01 00:32:40,720+0
kyklades,danut68,1-0,2013-01-01 00:33:21,240+0
legendary_erfan,schutzstaffel,0-1,2013-01-01 00:33:25,60+0
krieg,t4nk,1-0,2013-01-01 00:33:46,0+1
nichiren1967,cheesedout,0-1,2013-01-01 00:33:57,60+0
schutzstaffel,legendary_erfan,1-0,2013-01-01 00:34:48,60+0
troepianiz,chinokoli,0-1,2013-01-01 00:35:13,300+8
krieg,t4nk,1-0,2013-01-01 00:35:02,0+1
legendary_erfan,schutzstaffel,0-1,2013-01-01 00:36:40,60+0
cheesedout,nichiren1967,1-0,2013-01-01 00:36:53,60+0
schutzstaffel,luminosity,1-0,2013-01-01 00:37:48,60+0
lamobot,rasmussenesq,1-0,2013-01-01 00:37:10,120+3
krieg,t4nk,0-1,2013-01-01 00:38:34,0+1
theweebles,adrnlnnjectd,0-1,2013-01-01 00:39:20,480+0
krieg,2girls1cup,0-1,2013-01-01 00:39:49,120+2
schutzstaffel,t4nk,1-0,2013-01-01 00:39:51,60+0
4di4,legendary_erfan,0-1,2013-01-01 00:40:24,60+0
namesnik,cheesedout,0-1,2013-01-01 00:40:26,60+0
vivelafete,luminosity,1-0,2013-01-01 00:40:35,180+0
2girls1cup,krieg,0-1,2013-01-01 00:40:53,120+2
peter2,throwaway,1-0,2013-01-01 00:41:44,300+0
legendary_erfan,hephesto,0-1,2013-01-01 00:43:11,60+0
vivelafete,namesnik,1-0,2013-01-01 00:43:15,180+0
twokings,sinic,0-1,2013-01-01 00:44:48,720+0
rambo007max,mufasa,0-1,2013-01-01 00:45:11,600+6
j-jorjik,metrolog,1-0,2013-01-01 00:45:33,480+8
krieg,2girls1cup,1-0,2013-01-01 00:45:51,120+2
lifeofmg,al3103,0-1,2013-01-01 00:45:53,900+0
namesnik,cheesedout,0-1,2013-01-01 00:46:47,60+0
